地铁口 精装 全明通透 高得房率 南北双阳台 换房急售 2室2厅 | 90.76㎡ | 低层 （共11层） | 东南向 | 2009年建 | 孔倩 大地伊丽雅特湾 迈皋桥-和燕路329号 满五 优质教育 距1号线晓庄站约933米 185 万 20383元/㎡
特价 热搜 人气 仙林 · 亚东城西区精装南北通透板楼两室中楼层2018年装修 双重验真 官方发布 房天下房源字典核验 2室2厅 | 94.55㎡ | 中层 （共11层） | 南北向 | 2009年建 | 孟全 亚东城 仙鹤门-栖霞区仙隐北路18号 满五 距2号线仙鹤门站约770米 250 万 26441元/㎡ 低于市场价30万
人气 学则路马群东 南京大学万达茂仙林湖 总价113万买精装3房 3室2厅 | 88.13㎡ | 低层 （共18层） | 南北向 | 2018年建 | 李小朋 华侨城翡翠天域 栖霞-工农路与疏港大道交汇处 推荐新房 满二 113.5 万 12878元/㎡
仙林 · 高科荣域 · 4室 · 2厅 双重验真 官方发布 房天下房源字典核验 4室2厅 | 123.1㎡ | 底层 （共11层） | 南向 | 2014年建 | 孟全 高科荣域 仙林-仙林大学城文澜路与仙境路交叉口向西100米 满五 400 万 32493元/㎡
报价可谈!万象天地 小高层 低密度 一梯两户 精装交付 3室1厅 | 98.25㎡ | 底层 （共11层） | 南向 | 2018年建 | 王彩丽 华发华润置地万象天地 迈皋桥-栖霞大道与经五路(燕城大道)交汇处 满二 距7号线万寿站约182米 358 万 36437元/㎡
紫金山下 花园城复地御钟山旁 改善 急卖 4室2厅 | 172.88㎡ | 高层 （共11层） | 南向 | 2013年建 | 张磊 招商紫金山1号 马群-环陵路99号 满二 优质教育 距2号线马群站约109米 600 万 34706元/㎡
热搜 人气 倒挂5000 金浦御龙湾 开发商一手新房,1号线旁 3室2厅 | 89.36㎡ | 低层 （共27层） | 南北向 | 2022年建 | 许金虎 金浦御龙湾 迈皋桥-金浦御龙湾 距1号线晓庄站约644米 180 万 20143元/㎡
店长主推,精装修,产权清晰,诚意出售,配套成熟 3室2厅 | 139.22㎡ | 中层 （共9层） | 南北向 | 2013年建 | 孔倩 大发燕澜湾 燕子矶-和燕路498号(苏果超市和燕路店东南侧) 满五 优质教育 距1号线燕子矶站约373米 336 万 24134元/㎡
马群口 招商紫金山1号 纯毛坯 急卖 急卖 4室2厅 | 208㎡ | 中层 （共8层） | 南向 | 2013年建 | 张磊 招商紫金山1号 马群-环陵路99号 满二 优质教育 距2号线马群站约109米 495 万 23798元/㎡
特价 热搜 人气 栖霞区仙鹤门保利紫晶山3室2厅 新空毛坯 双重验真 官方发布 房天下房源字典核验 3室2厅 | 142.2㎡ | 中层 （共6层） | 南北向 | 2012年建 | 余莉莉 保利紫晶山 仙鹤门-栖霞区马群大庄6号 满五 优质教育 距2号线仙鹤门站约444米 450 万 31645元/㎡ 低于市场价64万
价格好谈 7号地铁口 恒大精装82平 新房一年房龄 好楼层 2室1厅 | 82.92㎡ | 中层 （共20层） | 南向 | 2022年建 | 吴彩娣 恒大云玺华庭 尧化-太龙路与邻安路交会处西侧200米 距7号线尧化新村站约532米 140 万 16883元/㎡
特价 栖霞区仙鹤门朗诗钟山绿郡次顶楼好房 双重验真 官方发布 房天下房源字典核验 3室2厅 | 138.49㎡ | 高层 （共6层） | 南向 | 2011年建 | 孟全 朗诗钟山绿郡 仙鹤门-仙林大道与凯旋路交叉口 满五 优质教育 距2号线仙鹤门站约424米 540 万 38991元/㎡ 低于市场价118万
熊猫汇智家园,身份的象征 4室2厅 | 112㎡ | 高层 （共16层） | 南北向 | 2006年建 | 邓婷婷 熊猫汇智家园 仙林-天佑路28号 满五 优质教育 距4号线仙林湖站约1065米 202 万 18035元/㎡
(刚需必选} 内部房源 南京主城栖霞 龙湖翡翠上城 璀璨云著 3室2厅 | 89㎡ | 低层 （共26层） | 南北向 | 2020年建 | 尹伟 苏宁世茂·璀璨云著 栖霞-兴智科创新城兴智路与恒久路交汇处 满二 167 万 18764元/㎡
急 复式 160平 双卫 有钥匙 地铁1号线 城市绿洲花园 4室2厅 | 80.12㎡ | 高层 （共7层） | 南向 | 2000年建 | 夏菊 城市绿洲花园 和燕路-栖霞区和燕路440号 满五 优质教育 距1号线吉祥庵站约392米 255 万 31827元/㎡
特价 仙林 · 尚东花园 · 2室 · 2厅 双重验真 官方发布 房天下房源字典核验 2室2厅 | 86.78㎡ | 顶层 （共5层） | 南向 | 2007年建 | 张月红 尚东花园 仙林-仙林大道118号 满五 距2号线仙林中心站约824米 260 万 29960元/㎡ 低于市场价16万
特价 大地伊丽雅特湾,,270万元,价格便宜,诚心卖! 3室2厅 | 110.75㎡ | 高层 （共10层） | 南向 | 2000年建 | 凌晓伟 大地伊丽雅特湾 迈皋桥-和燕路329号 满五 优质教育 距1号线晓庄站约933米 270 万 24379元/㎡ 低于市场价28万
此房满五,南北通风 客厅带窗 复式顶跃 超大使用 面积 5室2厅 | 194.33㎡ | 高层 （共11层） | 南北向 | 2020年建 | 孔倩 金浦御龙湾 迈皋桥-金浦御龙湾 满二 距1号线晓庄站约644米 505 万 25986元/㎡
没有经典的房源描述,没有华丽的房源标题只有一套好房 3室2厅 | 124.69㎡ | 低层 （共32层） | 南北向 | 2000年建 | 黄朋飞 弘阳燕江府 燕子矶-太新路与嵩山路交汇处 满五 距1号线笆斗山站约606米 288 万 23097元/㎡
4.5米双层LOFT万寿商业CBD旁 地铁7号线已通车 1室1厅 | 27㎡ | 低层 （共28层） | 南向 | 2020年建 | 戚亮辉 华发华润置地万象天地 迈皋桥-栖霞大道与经五路(燕城大道)交汇处 距7号线万寿站约182米 46 万 17037元/㎡
热搜 燕熙台(西区) 装修好 刚需小三居 交通便利 正规商品房 3室2厅 | 94.62㎡ | 中层 （共32层） | 南北向 | 2000年建 | 彭林林 燕熙台 晓庄-燕子矶街道太新路与经五路交汇处 满五 距1号线笆斗山站约754米 255 万 26949元/㎡
特价 人气 万科燕语光年 万科物业 楼层好 全新未住 双地铁口 3室2厅 | 109.45㎡ | 顶层 （共29层） | 南北向 | 2000年建 | 王彩丽 万科·燕语光年 迈皋桥-栖霞大道与燕园路交汇处 满五 349 万 31886元/㎡ 低于市场价33万
尧辰景园电梯房 次新小区 68平60万左右 总价低可拎包住 2室1厅 | 67.81㎡ | 顶层 （共26层） | 南向 | 吴彩娣 尧辰景园 尧化-尧辰路和栖霞大道交叉口 满五 65 万 9585元/㎡
12月折扣 主城燕子矶新城 保利燕璟和颂 3地铁环绕 3室2厅 | 99㎡ | 低层 （共26层） | 南北向 | 2021年建 | 许金虎 华发·四季雅筑 晓庄-栖霞区燕子矶街道壮举路与吉祥街交汇处 距1号线八卦洲大桥南站约1064米 280 万 28282元/㎡
特价 人气 我什么都没有我这里只有你需要的房子! 3室2厅 | 88.07㎡ | 中层 （共32层） | 南向 | 2000年建 | 黄朋飞 万科·燕语光年 迈皋桥-栖霞大道与燕园路交汇处 满五 278 万 31565元/㎡ 低于市场价15万
什么叫真正特价房?看看这套你会明白!急售 3室2厅 | 118.43㎡ | 顶层 （共18层） | 南北向 | 2000年建 | 邓婷婷 融信世纪东方 仙林-经天路与广志路交汇处(南京大学仙林分校旁) 满五 距2号线经天路站约1057米 365 万 30819元/㎡
地铁口尧林仙居 精装修62平70万可谈 总价低 2室1厅 | 62.2㎡ | 顶层 （共6层） | 南向 | 吴彩娣 尧林仙居 尧化-尧佳路23号 满五 优质教育 距7号线尧化门站约730米 70 万 11254元/㎡
特价 仙林 · 朗诗保利麓院 · 5室 · 2厅 双重验真 官方发布 房天下房源字典核验 5室2厅 | 206.62㎡ | 高层 （共4层） | 南向 | 2013年建 | 余莉莉 朗诗保利麓院 仙林-灵山北路与汇通路交汇处 满二 距4号线汇通路站约1082米 1100 万 53237元/㎡ 低于市场价102万
仙鹤门 · 香溪月园 · 4室 · 2厅 双重验真 官方发布 房天下房源字典核验 4室2厅 | 192.61㎡ | 底层 （共3层） | 南北向 | 2003年建 | 孟全 香溪月圆 仙鹤门-文枢西路6号 满五 距2号线仙鹤门站约1009米 900 万 46726元/㎡
主城燕子矶 双地铁市区 二十九中书包 四站玄武湖 2室1厅 | 87.86㎡ | 中层 （共20层） | 南向 | 2018年建 | 李小朋 金浦御龙湾 迈皋桥-金浦御龙湾 满二 距1号线晓庄站约644米 195 万 22194元/㎡
华润幸福里好楼层 精装修花了20几万 165万可以谈 3室2厅 | 86.34㎡ | 高层 （共26层） | 南向 | 吴彩娣 华润幸福里 尧化-尧化街道前塘路9号(翠林北路与前塘路交汇处) 满五 距7号线仙新路站约636米 165 万 19110元/㎡
特价 保利紫晶山新空毛坯 满三年诚售看房方便 双重验真 官方发布 房天下房源字典核验 4室2厅 | 170.08㎡ | 中层 （共6层） | 南北向 | 2010年建 | 李雪 保利紫晶山 仙鹤门-栖霞区马群大庄6号 满二 优质教育 距2号线仙鹤门站约444米 550 万 32337元/㎡ 低于市场价42万
仙鹤门保利紫晶山豪装四房 位置好 价格可谈 双重验真 官方发布 房天下房源字典核验 5室2厅 | 170.1㎡ | 低层 （共6层） | 南北向 | 2013年建 | 李雪 保利紫晶山 仙鹤门-栖霞区马群大庄6号 满五 优质教育 距2号线仙鹤门站约444米 590 万 34685元/㎡
特价 后现代主义年轻人的选择!经典低价出售!!! 3室2厅 | 88.27㎡ | 中层 （共8层） | 南北向 | 2018年建 | 凌晓伟 紫金铭苑 迈皋桥-幕府东路与和燕路交汇处 满五 距7号线幕府山站约1146米 235 万 26622元/㎡ 低于市场价11万
热搜 人气 新特价金浦御龙湾 城北正核 配套成熟 晓庄口 性价比 3室2厅 | 112㎡ | 高层 （共30层） | 南北向 | 2023年建 | 张长伟 金浦御龙湾 迈皋桥-金浦御龙湾 距1号线晓庄站约644米 260 万 23214元/㎡
迈皋桥 星叶瑜憬湾 花园小区住宅 拎包入住 业主诚心出 3室1厅 | 129.31㎡ | 中层 （共18层） | 南北向 | 2016年建 | 钱俊马 星叶瑜憬湾 迈皋桥-迈皋桥大街网板路8号(网板路与电建路交汇) 357 万 27608元/㎡
仙林书包房,精装现房,金中金小,看房预约 3室2厅 | 118㎡ | 中层 （共16层） | 南北向 | 2020年建 | 段伟成 泷悦雅颂 仙林湖-东至现状,南至现状,西至白象路,北至广志路 距4号线仙林湖站约232米 288 万 24406元/㎡
特价 仙林湖 · 融信世纪东方 · 3室 · 2厅 双重验真 官方发布 房天下房源字典核验 3室2厅 | 118.43㎡ | 低层 （共18层） | 南向 | 2018年建 | 余莉莉 融信世纪东方 仙林-经天路与广志路交汇处(南京大学仙林分校旁) 满二 距2号线经天路站约1057米 340 万 28708元/㎡ 低于市场价27万
楼层好,位置好,税费比较少。业主诚意出售。 3室2厅 | 114.97㎡ | 低层 （共20层） | 南北向 | 2022年建 | 孔倩 金科博翠花园 燕子矶-燕春路26号 满二 275 万 23919元/㎡
人气 晓庄 紧邻地铁6 7号线 价格好谈 二十九中 中铁青秀城 3室2厅 | 124.32㎡ | 中层 （共33层） | 南向 | 2000年建 | 夏菊 中铁青秀城 迈皋桥-区迈尧路与经五路交汇处 (红太阳装饰城北门) 满五 距7号线万寿站约533米 348 万 27992元/㎡
推荐阳光雅居,你还为找房而烦恼么 来这 有你想要的一切房源 2室1厅 | 88.04㎡ | 中层 （共6层） | 南北向 | 2000年建 | 凌晓伟 阳光雅居 迈皋桥-迈尧路232号 满五 距7号线万寿站约212米 155 万 17605元/㎡
特价 祥和雅苑 86.97平3居 南北向简装修 着急出售 3室1厅 | 86.97㎡ | 高层 （共18层） | 南北向 | 2017年建 | 黄朋飞 祥和雅苑 燕子矶-神农路5号 满二 优质教育 距1号线吉祥庵站约495米 161 万 18512元/㎡ 低于市场价19万
大发燕澜湾,一般装修,低价急售 4室1厅 | 160.69㎡ | 低层 （共11层） | 南北向 | 2000年建 | 黄朋飞 大发燕澜湾 燕子矶-和燕路498号(苏果超市和燕路店东南侧) 满五 优质教育 距1号线燕子矶站约373米 370 万 23025元/㎡
地铁口 开发商精装 全明通透 高得房率 换房急售急售 4室2厅 | 121㎡ | 低层 （共17层） | 南北向 | 2019年建 | 孔倩 佳兆业燕然居 燕子矶-栖霞区观音门路2号 满五 346 万 28595元/㎡
南京尧化门仙林 保利现房 精装带学.区 刚需89平楼层好 3室2厅 | 85㎡ | 低层 （共26层） | 南向 | 2023年建 | 李小朋 中交保利·翠语江岚 栖霞-东至规划观江路, 南至规划江南路 115 万 13529元/㎡
【看房提前预约】仙林地铁口现房,万达旁,金中學岖! 3室2厅 | 108㎡ | 中层 （共20层） | 南向 | 2024年建 | 段伟成 中海·观文澜 仙林-中海·观文澜 距4号线仙林湖站约401米 295 万 27314元/㎡
来电咨询底价!燕子矶新城 6号线兴学路站200米精装三房 3室2厅 | 89㎡ | 中层 （共25层） | 南北向 | 2023年建 | 段海伦 金地都会峯范 万寿-金地都会峯范 185 万 20786元/㎡
这都是怎么了多好的房子呀房东怎么舍得卖掉呢 3室2厅 | 99.59㎡ | 低层 （共18层） | 南向 | 2000年建 | 邓婷婷 融信世纪东方 仙林-经天路与广志路交汇处(南京大学仙林分校旁) 满五 距2号线经天路站约1057米 265 万 26609元/㎡
迈皋桥 锦麟融誉府 地铁口 精装 拎包入住 环优交便 3室2厅 | 110.42㎡ | 高层 （共26层） | 南北向 | 2022年建 | 钱俊马 锦麟融誉府 迈皋桥-北苑东路与熙湲路交汇处 距1号线晓庄站约1109米 325 万 29433元/㎡
热搜 人气 爱的起点、梦的归宿、家的选择,金浦御龙湾B区,不可错过! 3室2厅 | 99.9㎡ | 中层 （共17层） | 南北向 | 2000年建 | 凌晓伟 金浦御龙湾 迈皋桥-金浦御龙湾 满五 距1号线晓庄站约644米 330 万 33033元/㎡
迈皋桥 地铁口 大地伊丽雅特湾 电梯小高层 双卫晓庄地铁口 3室2厅 | 110.75㎡ | 中层 （共11层） | 南北向 | 2011年建 | 钱俊马 大地伊丽雅特湾 迈皋桥-和燕路329号 优质教育 距1号线晓庄站约933米 239 万 21580元/㎡
特价 人气 仙林湖 · 新城香悦澜山 · 3室 · 2厅 双重验真 官方发布 房天下房源字典核验 3室2厅 | 88.97㎡ | 高层 （共27层） | 南北向 | 2016年建 | 余莉莉 新城香悦澜山 仙林-仙林经天路与纬地路交汇处 满五 优质教育 距2号线经天路站约1158米 222 万 24952元/㎡ 低于市场价24万
特价 仙林大学城 多层两房 南北通透 满五年无个税 精装修 双重验真 官方发布 房天下房源字典核验 2室2厅 | 66.31㎡ | 高层 （共5层） | 南北向 | 2002年建 | 孟全 雁鸣山庄 仙鹤门-仙隐北路8号 满五 优质教育 160 万 24129元/㎡ 低于市场价18万
方圆绿茵 113.94平3居 南北向简装修 安静不临街 3室2厅 | 113.94㎡ | 中层 （共6层） | 南北向 | 2018年建 | 黄朋飞 方圆绿茵 迈皋桥-华电路长营村99号 满二 优质教育 距1号线迈皋桥站约888米 220 万 19308元/㎡
栖霞区 标准三房 甄房 甄价 精装修 楼层好 视野好 2室2厅 | 80㎡ | 中层 （共32层） | 南北向 | 2024年建 | 陈群芳 新生圩宝龙广场 栖霞-南京市栖霞区仙新路与恒发路交汇处 距7号线仙新路站约1055米 141 万 17625元/㎡
银城品质 花园洋房 一楼带院 业主诚售 4室2厅 | 128.73㎡ | 底层 （共8层） | 南北向 | 2018年建 | 张磊 银城君颐东方 马群-马群街169号(宁杭高速与规划道路交汇处) 满二 距2号线马群站约839米 550 万 42725元/㎡
地铁口 精装未住 南师小學 初中 全明通透 边户急售急 3室2厅 | 106.29㎡ | 高层 （共34层） | 南北向 | 2020年建 | 孔倩 金浦紫御东方 晓庄-经五路与太新路交汇处 满二 距1号线笆斗山站约811米 226 万 21262元/㎡
奥南鲁能公馆此房满两年,无税,户型通透,交通便利。 4室2厅 | 136.74㎡ | 中层 （共32层） | 南北向 | 2018年建 | 陈小丽 栖霞鲁能公馆 尧化-新城路和翠林北路交汇处 满二 距7号线尧化门站约844米 550 万 40222元/㎡
特价 热搜 人气 仙林 · 亚东城西区 · 2室 · 1厅两房朝南 双重验真 官方发布 房天下房源字典核验 2室1厅 | 96.3㎡ | 低层 （共19层） | 南向 | 2009年建 | 孟全 亚东城 仙鹤门-栖霞区仙隐北路18号 满五 距2号线仙鹤门站约770米 228 万 23676元/㎡ 低于市场价54万
来电详谈折扣!栖霞兴智 6号线地铁口100米精装三房 3室2厅 | 89㎡ | 中层 （共26层） | 南北向 | 2020年建 | 李小朋 璀璨云著 栖霞-兴智科创新城兴智路与恒久路交汇处 满二 170 万 19101元/㎡
通勤便捷!次新电梯房小区,日照充足 好楼层换房急售 3室2厅 | 121.73㎡ | 高层 （共17层） | 南北向 | 2022年建 | 孔倩 佳兆业燕然居 燕子矶-栖霞区观音门路2号 满二 356 万 29245元/㎡
热搜 人气 业主急售 翠谷四期好房 类独栋边户 业主着急出 独栋 | 卧室：5个 | 花园：120平米 | 327㎡ | 南向 | 袁洁 新湖仙林翠谷别墅 龙潭-栖霞区句容宝华镇 满二 420 万 12844元/㎡
浦御龙湾楼层好视野好采光好落地窗 2室2厅 | 68.26㎡ | 中层 （共17层） | 南向 | 2000年建 | 王彩丽 金浦御龙湾 迈皋桥-金浦御龙湾 满五 距1号线晓庄站约644米 178 万 26076元/㎡
山和九著府,首付5万,栖霞地铁江景學岖房,89平双卫!现房 3室2厅 | 89.23㎡ | 中层 （共26层） | 南北向 | 2018年建 | 段伟成 山和九著府小区 栖霞-南京市栖霞区欢乐大道与规划江南路交汇处 满二 130 万 14569元/㎡
特价 仙林 · 香樟园 · 1室 · 1厅 双重验真 官方发布 房天下房源字典核验 1室1厅 | 48.78㎡ | 中层 （共15层） | 南向 | 2009年建 | 孟全 香樟园 仙林-仙林街道杉湖路社区杉湖西路9号 满五 优质教育 距2号线学则路站约1050米 95 万 19475元/㎡ 低于市场价51万
特价 高科荣境 改善热门户型178平 大四房 总价低 诚心卖有钥匙 双重验真 官方发布 房天下房源字典核验 4室2厅 | 177.04㎡ | 中层 （共11层） | 南北向 | 2014年建 | 孟全 高科荣境 仙林-守敬路313号(仙林大道与经天路交汇处) 满五 优质教育 距2号线经天路站约819米 588 万 33212元/㎡ 低于市场价101万
上盖精装品质公寓 自带商业综合体,配套齐全 看房车接送 1室2厅 | 42㎡ | 中层 （共12层） | 南向 | 2017年建 | 廖斯敏 峯汇中心 尧化-金尧路和尧佳路交汇处 满二 距7号线尧化门站约382米 45 万 10714元/㎡
人气 走千家不如看一家!超高性价比的好房子30万装修 急售 3室2厅 | 98.92㎡ | 高层 （共26层） | 南北向 | 2000年建 | 邓婷婷 新城香悦澜山 仙林-仙林经天路与纬地路交汇处 满五 优质教育 距2号线经天路站约1158米 250 万 25272元/㎡
新特价房89平,245W起板块小户型仙林湖泷悦雅颂 3室2厅 | 113㎡ | 低层 （共26层） | 南向 | 2024年建 | 毛国忠 泷悦雅颂 仙林湖-东至现状,南至现状,西至白象路,北至广志路 距4号线仙林湖站约232米 296 万 26194元/㎡
复地御钟山 品质小区 中间位置 不临街 电梯洋房 业主诚心卖 4室2厅 | 176.16㎡ | 低层 （共7层） | 南向 | 2017年建 | 易功瑞 复地御钟山 马群-马群街道2号 满五 满五唯一 优质教育 距2号线马群站约479米 580 万 32924元/㎡
热搜 人气 迈皋桥 双地铁 金浦御龙湾G区 精装修 采光好 诚心出售 3室2厅 | 126.57㎡ | 低层 （共32层） | 南北向 | 2021年建 | 钱俊马 金浦御龙湾 迈皋桥-金浦御龙湾 距1号线晓庄站约644米 323 万 25519元/㎡
4.5米双层LOFT万寿商业CBD旁 地铁7号线已通车 1室1厅 | 27㎡ | 低层 （共28层） | 南向 | 吴苑 华发华润置地万象天地 迈皋桥-栖霞大道与经五路(燕城大道)交汇处 距7号线万寿站约182米 46 万 17037元/㎡
特价 仙林 · 栖园北区 · 4室 · 2厅 双重验真 官方发布 房天下房源字典核验 4室2厅 | 158.65㎡ | 顶层 （共4层） | 南北向 | 2008年建 | 孟全 栖园小区 仙林-栖霞区仙林杉湖东路18号 满五 距2号线羊山公园站约543米 730 万 46013元/㎡ 低于市场价25万
人气 中海燕矶听潮C区追求自然,生态的“大森林气质” 3室2厅 | 100.37㎡ | 低层 （共32层） | 南北向 | 2000年建 | 黄朋飞 中海燕矶听潮 燕子矶-燕子矶新城经五路与太新路交汇处 满五 距1号线笆斗山站约1061米 255 万 25406元/㎡
地铁口 全明通透 高得房率 换房拎包入住 急售急售 4室2厅 | 137.9㎡ | 中层 （共11层） | 南北向 | 2020年建 | 孔倩 金浦御龙湾 迈皋桥-金浦御龙湾 满二 距1号线晓庄站约644米 398 万 28861元/㎡
特价 热搜 人气 仙林 · 亚东城东区 · 2室 · 2厅 双重验真 官方发布 房天下房源字典核验 2室2厅 | 93.52㎡ | 低层 （共9层） | 南北向 | 2008年建 | 余莉莉 亚东城 仙鹤门-栖霞区仙隐北路18号 满五 距2号线仙鹤门站约770米 230 万 24593元/㎡ 低于市场价58万
特价 星叶羊山湖花园四室二厅纯毛坯 电梯洋房看房方便诚卖 双重验真 官方发布 房天下房源字典核验 4室2厅 | 143.15㎡ | 低层 （共8层） | 南北向 | 2015年建 | 孟全 星叶羊山湖花园 仙林-仙境路18号 满五 508 万 35487元/㎡ 低于市场价68万
人气 新上必看好房仙林地铁口 金中金小 新城香悦澜山 50万装修 3室1厅 | 125.02㎡ | 中层 （共27层） | 南北向 | 2000年建 | 邓婷婷 新城香悦澜山 仙林-仙林经天路与纬地路交汇处 满五 优质教育 距2号线经天路站约1158米 280 万 22396元/㎡
紫金山东侧马群口 紫金观邸 四房毛坯 诚心急售 4室2厅 | 137㎡ | 高层 （共14层） | 南向 | 2018年建 | 易功瑞 中垠紫金观邸 马群-马群环陵路99号(马群综合换乘中心) 满五唯一 满二 距2号线马群站约365米 290 万 21167元/㎡
特价 康桥圣菲新出小两房,精装修。业主诚心出售。 双重验真 官方发布 房天下房源字典核验 2室2厅 | 50.75㎡ | 高层 （共5层） | 南向 | 2007年建 | 孟全 康桥圣菲 仙林-文范路9号 满五 优质教育 距2号线学则路站约490米 135 万 26600元/㎡ 低于市场价52万
清栋计划 单价2.5!燕子矶新核 一号线晓庄地铁站100米 3室2厅 | 99㎡ | 中层 （共23层） | 南北向 | 2023年建 | 尹伟 保利·国贸璟上 迈皋桥-南京市栖霞区和燕路与宜春街交汇处 距1号线晓庄站约769米 239 万 24141元/㎡
保利·国贸璟上 3室2厅2卫 精装修 258万元 3室2厅 | 99.23㎡ | 中层 （共23层） | 南北向 | 2023年建 | 许金虎 保利·国贸璟上 迈皋桥-南京市栖霞区和燕路与宜春街交汇处 距1号线晓庄站约769米 258 万 26000元/㎡
新特价清盘中低密度现房住宅 品质改善栖霞区百水桥口 3室1厅 | 104㎡ | 中层 （共18层） | 南北向 | 2022年建 | 陈群芳 润栖府 马群-南京市栖霞区宁芝路与美芝嘉路交汇处 满二 距s6号线百水桥站约514米 255 万 24519元/㎡
人气 天悦花园一楼 阳光没遮挡 正规大三房 交通便利 生活方便 3室2厅 | 84.96㎡ | 底层 （共6层） | 南北向 | 2003年建 | 易功瑞 天悦花园 马群-马群新街89-1号 满五 满五唯一 优质教育 距2号线马群站约504米 120 万 14124元/㎡
迈皋桥 地铁口 星叶瑜憬尚府精装次新房 业主售卖积极 3室2厅 | 110.26㎡ | 中层 （共23层） | 南北向 | 2023年建 | 钱俊马 星叶瑜憬湾 迈皋桥-迈皋桥大街网板路8号(网板路与电建路交汇) 355 万 32196元/㎡
来电免费接送!主城燕子矶一号线晓庄地铁口精装三房 保利国贸璟 3室2厅 | 89㎡ | 中层 （共23层） | 南向 | 2023年建 | 廖斯敏 保利·国贸璟上 迈皋桥-南京市栖霞区和燕路与宜春街交汇处 距1号线晓庄站约769米 240 万 26966元/㎡
人气 万科·燕语光年 117.53平3居 南向精装修 视野无遮挡 3室1厅 | 117.53㎡ | 中层 （共34层） | 南向 | 2023年建 | 黄朋飞 万科·燕语光年 迈皋桥-栖霞大道与燕园路交汇处 360 万 30630元/㎡
特价 人气 揭开一套保利国际社区为人抢购的惊天秘密! 3室2厅 | 96.02㎡ | 中层 （共33层） | 南向 | 2000年建 | 黄朋飞 保利国际社区 燕子矶-燕子矶街道太新路与燕园路交汇处 满五 距1号线笆斗山站约506米 246.8 万 25702元/㎡ 低于市场价25万
人气 不懂得怎么买房的我们,还以为观望就是传说,您遇过这精品房源吗 3室2厅 | 94.15㎡ | 中层 （共18层） | 南向 | 2000年建 | 邓婷婷 御湖仕家 仙林-仙林大道与守敬路交汇处向东100米 满五 优质教育 距4号线仙林湖站约713米 230 万 24429元/㎡
特价 急急 价格好谈 二十九中 紧邻地铁1 7号线 新城尚座 2室1厅 | 71.11㎡ | 低层 （共11层） | 南向 | 2000年建 | 夏菊 新城尚座 迈皋桥-迈尧路322号 满五 距1号线晓庄站约816米 162 万 22781元/㎡ 低于市场价17万
燕子矶 总价低 地铁口200米 精装修 带会所 3室2厅 | 89㎡ | 低层 （共25层） | 南向 | 2019年建 | 李小朋 都会峯范府 万寿-都会峯范府 推荐新房 181 万 20337元/㎡
地铁口 精装 双阳台 高得房率 换房急售急售 2室2厅 | 82.6㎡ | 低层 （共33层） | 南北向 | 2022年建 | 孔倩 东方兰园 迈皋桥-经五路6号(经五路与迈化路交汇处) 满二 距7号线万寿站约464米 189 万 22881元/㎡
迈皋桥 融创玉兰公馆一期 精装三房 价格看中好商量 3室1厅 | 88.25㎡ | 中层 （共32层） | 南北向 | 2016年建 | 钱俊马 融创玉兰公馆 燕子矶-融创玉兰公馆 距1号线笆斗山站约699米 238 万 26968元/㎡
人气 高科荣境 飞机户型 三房两卫 精装修 金中金小书包房 诚心卖 双重验真 官方发布 房天下房源字典核验 3室2厅 | 122.78㎡ | 中层 （共11层） | 西向 | 2016年建 | 余莉莉 高科荣境 仙林-守敬路313号(仙林大道与经天路交汇处) 满五 优质教育 距2号线经天路站约819米 472 万 38442元/㎡
特价 地铁 6 7号线 二十九中 迈皋桥 万寿 绿城东方兰园 2室2厅 | 83.31㎡ | 中层 （共21层） | 南向 | 2000年建 | 夏菊 东方兰园 迈皋桥-经五路6号(经五路与迈化路交汇处) 满五 距7号线万寿站约464米 220 万 26407元/㎡ 低于市场价7万
迈皋桥 双地铁星叶瑜憬尚府 精装修随时带看 房主人性格随和 3室2厅 | 88.66㎡ | 高层 （共27层） | 南北向 | 2018年建 | 钱俊马 星叶瑜憬湾 迈皋桥-迈皋桥大街网板路8号(网板路与电建路交汇) 245 万 27633元/㎡
仙鹤门 · 钟山晶典 · 2室 · 2厅 双重验真 官方发布 房天下房源字典核验 2室2厅 | 86㎡ | 底层 （共11层） | 南北向 | 2007年建 | 李雪 国浩钟山晶典 仙鹤门-金马路19号 满五 距2号线金马路站约683米 220 万 25581元/㎡
来电咨询折扣!燕子矶一号线晓庄地铁口精装三房 保利国贸璟上 3室2厅 | 89㎡ | 中层 （共23层） | 南向 | 2023年建 | 李小朋 保利·国贸璟上 迈皋桥-南京市栖霞区和燕路与宜春街交汇处 距1号线晓庄站约769米 260 万 29213元/㎡
特价 热搜 人气 仙鹤门 · 保利紫晶山 · 3室 · 2厅 双重验真 官方发布 房天下房源字典核验 3室2厅 | 139.73㎡ | 低层 （共6层） | 南北向 | 2011年建 | 孟全 保利紫晶山 仙鹤门-栖霞区马群大庄6号 满五 优质教育 距2号线仙鹤门站约444米 475 万 33994元/㎡ 低于市场价26万
特价 仙林 · 鸿运嘉园 · 3室 · 2厅 双重验真 官方发布 房天下房源字典核验 3室2厅 | 95.75㎡ | 高层 （共5层） | 南北向 | 2011年建 | 孟全 鸿雁名居 仙林-学海路28号 满五 215 万 22454元/㎡ 低于市场价33万
